id,section,question,answer,notes
Q-001,Access Control,Do you enforce SSO for workforce access?,,
Q-002,Access Control,Is MFA required for all privileged users?,,
Q-003,Encryption,Is data encrypted at rest?,,
Q-004,Encryption,Is data encrypted in transit?,,
Q-005,Compliance,Do you maintain a SOC 2 Type II report?,,
Q-006,Compliance,Do you align to ISO 27001 or equivalent controls?,,
Q-007,Incident Response,Do you maintain a documented incident response plan?,,
Q-008,Incident Response,What is your customer notification SLA for confirmed incidents?,,
Q-009,Business Continuity,Do you test backups and disaster recovery procedures?,,
Q-010,Vulnerability Management,Do you perform regular vulnerability scanning?,,
Q-011,Application Security,Do you conduct secure code reviews before release?,,
Q-012,AI Governance,Do you assess model or prompt changes for fairness and bias risk?,,
Q-013,Data Retention,Can customer data be deleted on request?,,
Q-014,Subprocessors,Do you maintain a list of subprocessors?,,
Q-015,Monitoring,Are security events centrally logged and monitored?,,
